title,publication_date,source,content,url,keywords
Can AI protect the water supply? These Moravian Academy students have founded a company around it,2025-12-27,Unknown,"It took nearly 18,000 photos to train an artificial intelligence algorithm to detect hazardous materials within construction runoff, but now the 17-year-old...",https://www.mcall.com/2025/12/26/ai-moravian-academy-solvis/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIAxAC&usg=AOvVaw2wv1c8U7tUFTwI83dmNIze,construction artificial intelligence
Woodchuck receives growth investment for AI-powered construction waste diversion,2025-12-27,Unknown,"Woodchuck, an artificial intelligence- (AI-) powered climate technology startup, has received a growth-round investment from Michigan Rise,...",https://www.cdrecycler.com/news/woodchuck-receives-growth-investment-for-ai-powered-construction-waste-diversion/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQICRAC&usg=AOvVaw3N2ePBoBomz9AbNR1eNlFP,construction artificial intelligence
When Will Small And Mid-Sized Businesses In Construction Truly Adopt AI? Tech Company Trimble Urges Patience.,2025-12-27,Unknown,"In the construction industry, AI use cases are beginning to grow. Construction Industries Slowly Adapting AI. At my clients' jobsites, I'm seeing a number...",https://www.forbes.com/sites/quickerbettertech/2025/12/24/when-will-small-and-mid-sized-businesses-in-construction-truly-adopt-ai-tech-company-trimble-urges-patience/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIChAC&usg=AOvVaw2cONw2ukoNfJrtaqycznkY,construction artificial intelligence
Top 3 Construction Trends to Watch in 2026,2025-12-27,Unknown,"The construction industry stands at a pivotal moment. As we look toward 2026, technological innovation, sustainability demands, and evolving workforce...",https://cceonlinenews.com/tips/top-3-construction-trends-to-watch-in-2026-2/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIBBAC&usg=AOvVaw0YNuz1BZhBSzCL0Pxn4Vgu,construction artificial intelligence
AI Construction Costs Can Be an Accounting ‘Black Box’,2025-12-27,Unknown,"Spending on chips is generally lumped together with data-center building costs on corporate balance sheets, even as the lifespan for chips can be much...",https://www.wsj.com/articles/ai-construction-costs-can-be-an-accounting-black-box-3c197b09&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIBRAC&usg=AOvVaw0P89uLH7J1rv66o8oiS9js,construction artificial intelligence
What 2025 Taught Us About The Future Of Construction Tech,2025-12-27,Unknown,"The end of 2025 offers a natural moment to pause and reflect on the construction sector's trajectory, and the future of construction tech.",https://www.forbes.com/sites/angelicakrystledonati/2025/12/23/what-2025-taught-us-about-the-future-of-construction-tech/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIAhAC&usg=AOvVaw1pLS7agDFGYbZRMuYBtXVX,construction artificial intelligence
Google buys Intersect for $4.75B to solve AI's power crisis,2025-12-27,Unknown,Alphabet acquires Intersect for $4.75 billion in cash to accelerate data center energy capacity. Deal includes multiple gigawatts of projects under...,https://ppc.land/google-buys-intersect-for-4-75b-to-solve-ais-power-crisis/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIARAC&usg=AOvVaw1eBTcaqVcfDrhXcOYIBBiw,construction artificial intelligence
Artificial Intelligence Fuels Multibillion-Dollar Investments in Data Centers in Brazil,2025-12-27,Unknown,"Mega-investors such as Goldman Sachs, BTG Pactual, Patria Investimentos, General Atlantic and Actis are expanding their bets on Brazil with the construction...",https://www1.folha.uol.com.br/internacional/en/business/2025/12/artificial-intelligence-fuels-multibillion-dollar-investments-in-data-centers-in-brazil.shtml&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIBhAC&usg=AOvVaw3hOM-dgvU7kmNg8rLOFeBt,construction artificial intelligence
Adani Group to explore construction of nuclear plants to power AI ambitions - report,2025-12-27,Unknown,"Adani Group, one of India's largest companies, is exploring the potential of setting up nuclear energy plants to power its artificial intelligence data...",https://www.datacenterdynamics.com/en/news/adani-group-to-explore-construction-of-nuclear-plants-to-power-ai-ambitions-report/&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQIBxAC&usg=AOvVaw0zNOF2GWmfJN7rb6kQdQ4b,construction artificial intelligence
Purdue Polytechnic alumnus joins leading artificial intelligence startup Reflection AI,2025-12-27,Unknown,"Jin Wu, a Ph.D. graduate of Purdue Polytechnic's Bowen School of Construction, has joined Reflection AI, a pioneering research lab that has rapidly emerged...",https://polytechnic.purdue.edu/newsroom/purdue-polytechnic-alumnus-joins-leading-artificial-intelligence-startup-reflection-ai&ved=2ahUKEwiOqJ_eqt2RAxWNBdsEHTDPN1AQxfQBegQICBAC&usg=AOvVaw25MkH31JVefAkQKERFS8Qp,construction artificial intelligence
